in,13.9312 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
fishing scene I,0.217675 Text_1.txt Text_3.txt Text_4.txt 
fishing wrecks and,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
five billion from,0.217675 Text_1.txt Text_2.txt Text_3.txt 
five years The,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
followed for fourteen,0.217675 Text_1.txt 
followed ninety thousand,0.217675 Text_1.txt 
followed this diet,0.217675 Text_1.txt 
following categories,0.217675 Text_1.txt 
following mass shootings,0.217675 Text_1.txt Text_3.txt 
foods containing carotenoids,0.217675 Text_1.txt 
foods may reduce,0.217675 Text_1.txt 
footage together the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
for Cancer Research,0.217675 Text_1.txt 
for Major League,0.217675 Text_1.txt Text_2.txt Text_3.txt 
for Where to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
for a few,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
for astronauts,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
for every two,0.217675 Text_1.txt 
for finding new,0.217675 Text_1.txt Text_3.txt Text_4.txt 
for its extreme,0.217675 Text_1.txt Text_2.txt Text_3.txt 
for parents to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
for spacewalks on,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
for suits that,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
for targeting large,0.217675 Text_1.txt Text_4.txt 
for thirty years,0.217675 Text_1.txt 
for treatment from,0.217675 Text_1.txt Text_2.txt Text_3.txt 
for twenty two,0.217675 Text_1.txt 
for weapons and,0.217675 Text_1.txt Text_2.txt Text_3.txt 
forget to butterfly,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
forgotten with excellent,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
forms of it,0.217675 Text_1.txt 
forty one thousand,0.217675 Text_1.txt Text_2.txt 
found a similar,0.217675 Text_1.txt 
found in,0.43535 Text_1.txt Text_4.txt 
found in tackle,0.217675 Text_1.txt Text_4.txt 
found that adults,0.217675 Text_1.txt Text_2.txt 
free Epic,0.217675 Text_1.txt Text_2.txt Text_3.txt 
free of,0.43535 Text_1.txt 
from California,0.217675 Text_1.txt Text_2.txt 
from Glasgow,0.217675 Text_1.txt Text_2.txt 
from a May,0.217675 Text_1.txt Text_3.txt 
from a mate,0.217675 Text_1.txt Text_3.txt Text_4.txt 
from cancer,0.217675 Text_1.txt 
from cardiovascular,0.217675 Text_1.txt 
from each of,0.217675 Text_1.txt 
from insurers according,0.217675 Text_1.txt Text_2.txt Text_3.txt 
from playing video,0.217675 Text_1.txt Text_2.txt Text_3.txt 
from temperature extremes,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
fruit juice was,0.217675 Text_1.txt 
fruit juices may,0.217675 Text_1.txt 
fruit was associated,0.217675 Text_1.txt 
fruit where you,0.217675 Text_1.txt 
fruits especially,0.43535 Text_1.txt 
fruits especially blueberries,0.217675 Text_1.txt 
fruits vegetables and,0.217675 Text_1.txt 
fun after a,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
funky On Wednesday,0.217675 Text_1.txt Text_3.txt Text_5.txt 
future The,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
gain However,0.217675 Text_1.txt 
gambling and,0.217675 Text_1.txt Text_2.txt Text_3.txt 
gambling to some,0.217675 Text_1.txt Text_2.txt Text_3.txt 
game Electronic anchoring,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
game addiction and,0.217675 Text_1.txt Text_2.txt Text_3.txt 
game addictions I,0.217675 Text_1.txt Text_3.txt 
game console said,0.217675 Text_1.txt Text_2.txt Text_3.txt 
game of choice,0.217675 Text_1.txt Text_2.txt Text_3.txt 
game was,0.217675 Text_1.txt Text_2.txt Text_3.txt 
game without,0.217675 Text_1.txt Text_2.txt Text_3.txt 
games,1.30605 Text_1.txt Text_3.txt 
games And parents,0.217675 Text_1.txt Text_3.txt 
games get more,0.217675 Text_1.txt Text_2.txt Text_3.txt 
games this year,0.217675 Text_1.txt Text_2.txt Text_3.txt 
gaming consoles,0.217675 Text_1.txt Text_2.txt Text_3.txt 
gaming disorder as,0.217675 Text_1.txt Text_2.txt Text_3.txt 
gangs so I,0.217675 Text_1.txt Text_3.txt Text_4.txt 
garlic onions,0.217675 Text_1.txt 
gear,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
gear If youre,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
gear because nannygai,0.217675 Text_1.txt Text_4.txt 
gems Some of,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
general data from,0.217675 Text_1.txt 
generally just,0.217675 Text_1.txt Text_3.txt Text_4.txt 
generally provide,0.217675 Text_1.txt 
generated,0.217675 Text_1.txt Text_2.txt Text_3.txt 
generated a backlash,0.217675 Text_1.txt Text_2.txt Text_3.txt 
get a few,0.217675 Text_1.txt Text_2.txt Text_4.txt 
get all the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
get at least,0.217675 Text_1.txt 
get better sleep,0.217675 Text_1.txt Text_2.txt Text_3.txt 
get them clear,0.217675 Text_1.txt Text_3.txt Text_4.txt 
getting hooked,0.217675 Text_1.txt Text_2.txt Text_3.txt 
getting players,0.217675 Text_1.txt Text_2.txt Text_3.txt 
getting the spot,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
give tomatoes,0.217675 Text_1.txt 
give your,0.217675 Text_1.txt 
glass,0.217675 Text_1.txt 
globe for,0.217675 Text_1.txt Text_2.txt Text_3.txt 
glycemic loads,0.217675 Text_1.txt 
go,1.08838 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
go back,0.217675 Text_1.txt Text_4.txt 
go go,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
go into the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
go to areas,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
goal is,0.217675 Text_1.txt Text_2.txt Text_3.txt 
goes easily,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
goes if the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
going to,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
going to need,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
good health,0.217675 Text_1.txt Text_2.txt 
good numbers and,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
goods Throughout,0.217675 Text_1.txt Text_2.txt 
got a,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
got off the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
grades have plummeted,0.217675 Text_1.txt Text_2.txt Text_3.txt 
grapefruit and their,0.217675 Text_1.txt 
grapes and apples,0.217675 Text_1.txt 
grappling with,0.217675 Text_1.txt Text_2.txt Text_3.txt 
grasped the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
great at,0.217675 Text_1.txt Text_2.txt 
greater consumption of,0.43535 Text_1.txt 
green leafy,0.870701 Text_1.txt 
greens broccoli,0.217675 Text_1.txt 
greens were most,0.217675 Text_1.txt 
gritty so,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
ground Its,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
ground that doesnt,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
ground wonky,0.217675 Text_1.txt Text_3.txt Text_4.txt 
group that,0.217675 Text_1.txt Text_3.txt 
groups Fortnite,0.217675 Text_1.txt Text_2.txt Text_3.txt 
groups of,0.217675 Text_1.txt 
growing Its,0.217675 Text_1.txt Text_2.txt Text_3.txt 
guarding our,0.217675 Text_1.txt Text_2.txt 
habits Vitany who,0.217675 Text_1.txt Text_2.txt Text_3.txt 
habits were followed,0.217675 Text_1.txt 
had a few,0.217675 Text_1.txt Text_3.txt Text_5.txt 
had a twelve,0.217675 Text_1.txt 
had a year,0.217675 Text_1.txt Text_3.txt 
had so much,0.217675 Text_1.txt Text_2.txt Text_3.txt 
had three hundred,0.217675 Text_1.txt Text_2.txt Text_3.txt 
had to invest,0.217675 Text_1.txt Text_2.txt Text_3.txt 
hailed as,0.217675 Text_1.txt Text_2.txt 
hands,0.217675 Text_1.txt Text_3.txt 
hanging off the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
happening against,0.217675 Text_1.txt Text_2.txt Text_3.txt 
happier,0.217675 Text_1.txt Text_2.txt 
harsh,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
harsh structure I,0.217675 Text_1.txt Text_3.txt Text_4.txt 
has a,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
has a lot,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
has also drawn,0.217675 Text_1.txt Text_2.txt Text_3.txt 
has any hope,0.217675 Text_1.txt Text_2.txt Text_5.txt 
has at times,0.217675 Text_1.txt Text_2.txt Text_3.txt 
has become a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
has been located,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
has been pretty,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
has created opportunities,0.217675 Text_1.txt Text_2.txt Text_3.txt 
has issued past,0.217675 Text_1.txt Text_3.txt 
has seen a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
has this,0.217675 Text_1.txt Text_2.txt 
haunts were,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
have a lower,0.217675 Text_1.txt Text_2.txt 
have always been,0.217675 Text_1.txt Text_2.txt 
have any pets,0.217675 Text_1.txt Text_2.txt 
have been about,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
have bred,0.217675 Text_1.txt Text_2.txt 
have come,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
have developed cancer,0.217675 Text_1.txt 
have fun,0.217675 Text_1.txt Text_2.txt Text_5.txt 
have generated a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
have hooks running,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
have much,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
have not,0.43535 Text_1.txt 
have not or,0.217675 Text_1.txt 
have registered,0.217675 Text_1.txt Text_2.txt Text_3.txt 
have sent their,0.217675 Text_1.txt Text_2.txt Text_3.txt 
have shared a,0.217675 Text_1.txt Text_2.txt 
have soft mouths,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
have some red,0.217675 Text_1.txt Text_4.txt 
havent grasped the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
health Eat a,0.217675 Text_1.txt 
health However,0.217675 Text_1.txt Text_2.txt 
health across,0.217675 Text_1.txt Text_2.txt 
health and dietary,0.217675 Text_1.txt 
health thanks,0.217675 Text_1.txt Text_2.txt 
healthier to name,0.217675 Text_1.txt Text_2.txt 
healthy diet,0.217675 Text_1.txt 
healthy eating,0.217675 Text_1.txt Text_2.txt Text_3.txt 
healthy unsaturated,0.217675 Text_1.txt 
heard them,0.217675 Text_1.txt Text_2.txt Text_4.txt 
heart attack or,0.217675 Text_1.txt 
heart disease and,0.870701 Text_1.txt 
help,1.30605 Text_1.txt Text_5.txt 
help create,0.217675 Text_1.txt Text_2.txt Text_5.txt 
help keep appetite,0.217675 Text_1.txt 
help prevent diverticulosis,0.217675 Text_1.txt 
here,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
here to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
heroin said Lorrine,0.217675 Text_1.txt Text_2.txt Text_3.txt 
hes slipped,0.217675 Text_1.txt Text_2.txt Text_3.txt 
hidden gems,0.217675 Text_1.txt Text_3.txt Text_4.txt 
high blood,0.217675 Text_1.txt 
high school,0.217675 Text_1.txt Text_2.txt Text_3.txt 
higher fibre intakes,0.217675 Text_1.txt 
higher intake,0.43535 Text_1.txt 
higher intakes,0.217675 Text_1.txt 
higher risk of,0.217675 Text_1.txt 
highest,0.870701 Text_1.txt 
highest fruit fibre,0.217675 Text_1.txt 
highest intake of,0.217675 Text_1.txt 
highest vegetable fibre,0.217675 Text_1.txt 
him to cut,0.217675 Text_1.txt Text_2.txt Text_3.txt 
his old habits,0.217675 Text_1.txt Text_3.txt 
his own video,0.217675 Text_1.txt Text_2.txt Text_3.txt 
historically been,0.217675 Text_1.txt Text_2.txt 
history,0.217675 Text_1.txt Text_2.txt 
history humans have,0.217675 Text_1.txt Text_2.txt 
hitting the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
holes,0.217675 Text_1.txt Text_3.txt Text_4.txt 
holes and isolated,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
hook When,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
hook fans he,0.217675 Text_1.txt Text_2.txt Text_3.txt 
hooked its hard,0.217675 Text_1.txt Text_2.txt Text_3.txt 
hooks running,0.217675 Text_1.txt Text_4.txt 
hooks when using,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
hope of,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
hot pants another,0.217675 Text_1.txt Text_2.txt Text_5.txt 
hot sessions Drifting,0.217675 Text_1.txt Text_4.txt 
how many,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
how our,0.217675 Text_1.txt Text_2.txt 
however these studies,0.217675 Text_1.txt 
hue lycopene,0.217675 Text_1.txt 
humans and dogs,0.217675 Text_1.txt Text_2.txt 
humans best friends,0.217675 Text_1.txt Text_2.txt 
humans have also,0.217675 Text_1.txt Text_2.txt 
hundred Finnish,0.217675 Text_1.txt 
hundred Fortnite wins,0.217675 Text_1.txt Text_3.txt 
hundred and eighty,0.217675 Text_1.txt 
hundred and fourteen,0.217675 Text_1.txt Text_2.txt 
hundred and twenty,0.217675 Text_1.txt Text_2.txt Text_3.txt 
hundreds of different,0.217675 Text_1.txt 
hunger At least,0.217675 Text_1.txt 
idea,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
ideas,0.217675 Text_1.txt 
ideas for increasing,0.217675 Text_1.txt 
if a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
if the sharks,0.43535 Text_1.txt Text_4.txt 
if they,0.217675 Text_1.txt Text_2.txt Text_3.txt 
if you cant,0.217675 Text_1.txt Text_2.txt Text_4.txt 
if youre new,0.217675 Text_1.txt Text_3.txt Text_4.txt 
image of,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
important Baits,0.217675 Text_1.txt Text_4.txt 
important contributions,0.217675 Text_1.txt 
important finding was,0.217675 Text_1.txt 
in Columbia,0.217675 Text_1.txt Text_2.txt 
in Europe,0.217675 Text_1.txt Text_2.txt 
in Mansfield Centre,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in Texas,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in The,0.217675 Text_1.txt Text_2.txt 
in Wakefield,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in a,0.870701 Text_1.txt Text_3.txt 
in a game,0.217675 Text_1.txt Text_3.txt 
in an,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
in big trouble,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
in class,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in common with,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
in five years,0.217675 Text_1.txt Text_2.txt Text_4.txt Text_5.txt 
in fruits vegetables,0.217675 Text_1.txt 
in general data,0.217675 Text_1.txt 
in getting him,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in good numbers,0.217675 Text_1.txt Text_2.txt Text_4.txt 
in its popular,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in itself be,0.217675 Text_1.txt Text_2.txt 
in life When,0.217675 Text_1.txt 
in mind that,0.217675 Text_1.txt 
in my office,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in order,0.217675 Text_1.txt 
in parents,0.217675 Text_1.txt Text_3.txt 
in person fights,0.217675 Text_1.txt Text_2.txt Text_3.txt 
in proper feeding,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
in some list,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
in tackle shops,0.217675 Text_1.txt Text_4.txt 
in the backside,0.217675 Text_1.txt Text_2.txt Text_4.txt 
in the lowest,0.217675 Text_1.txt 
in the tip,0.217675 Text_1.txt Text_2.txt Text_4.txt 
in this,0.217675 Text_1.txt 
in two thousand,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
in videos Its,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
in women,0.217675 Text_1.txt 
in your,0.217675 Text_1.txt 
include,0.217675 Text_1.txt 
included Vulcan,0.217675 Text_1.txt Text_3.txt 
included almost,0.217675 Text_1.txt 
including,1.08838 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
including a request,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
including one from,0.217675 Text_1.txt Text_2.txt 
including those of,0.217675 Text_1.txt 
increased risk among,0.217675 Text_1.txt 
increased their intakes,0.217675 Text_1.txt 
increasing the,0.217675 Text_1.txt 
indicated,0.217675 Text_1.txt 
indigestible fibre which,0.217675 Text_1.txt 
individual fruits are,0.217675 Text_1.txt 
individuals linked,0.217675 Text_1.txt Text_2.txt Text_3.txt 
individuals who,0.217675 Text_1.txt 
industry,0.217675 Text_1.txt Text_2.txt Text_3.txt 
industry has also,0.217675 Text_1.txt Text_2.txt Text_3.txt 
information from the,0.217675 Text_1.txt 
information than case,0.217675 Text_1.txt 
initially healthy,0.217675 Text_1.txt 
inside,0.217675 Text_1.txt 
inside the intestinal,0.217675 Text_1.txt 
insurers,0.217675 Text_1.txt Text_2.txt Text_3.txt 
insurers according Paul,0.217675 Text_1.txt Text_2.txt Text_3.txt 
into a roller,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
invest just to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
investor group that,0.217675 Text_1.txt Text_2.txt Text_3.txt 
involved in,0.217675 Text_1.txt 
involved individuals,0.217675 Text_1.txt Text_3.txt 
involves,0.217675 Text_1.txt Text_3.txt 
is a welcome,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
is always reliable,0.217675 Text_1.txt Text_4.txt 
is being the,0.217675 Text_1.txt Text_2.txt Text_3.txt 
is compelling evidence,0.217675 Text_1.txt 
is echoed by,0.217675 Text_1.txt Text_2.txt Text_3.txt 
is fighting a,0.217675 Text_1.txt Text_2.txt Text_3.txt 
is free Epic,0.217675 Text_1.txt Text_2.txt Text_3.txt 
is just an,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
is king on,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
is like heroin,0.217675 Text_1.txt Text_3.txt 
is likely that,0.217675 Text_1.txt Text_2.txt 
is live yakkas,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
is no stranger,0.217675 Text_1.txt Text_2.txt Text_5.txt 
is one of,0.217675 Text_1.txt 
is particularly compelling,0.217675 Text_1.txt Text_3.txt 
is physical activity,0.217675 Text_1.txt Text_2.txt 
is pretty excited,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
is standing matches,0.217675 Text_1.txt Text_2.txt Text_3.txt 
is that It,0.217675 Text_1.txt Text_2.txt 
isolated rocks are,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
it as a,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
it if you,0.217675 Text_1.txt Text_2.txt 
it is now,0.217675 Text_1.txt Text_2.txt Text_3.txt 
it looked like,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
it looking like,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
it replaces another,0.217675 Text_1.txt 
it s working,0.217675 Text_1.txt Text_2.txt Text_5.txt 
it short and,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
its creator,0.217675 Text_1.txt Text_2.txt Text_3.txt 
jig is all,0.217675 Text_1.txt Text_4.txt 
keep it short,0.217675 Text_1.txt Text_4.txt 
keep kids under,0.217675 Text_1.txt Text_3.txt 
keep them alive,0.217675 Text_1.txt Text_2.txt Text_4.txt 
kids to counselling,0.217675 Text_1.txt Text_2.txt Text_3.txt 
kids under ten,0.217675 Text_1.txt Text_3.txt 
kids with additional,0.217675 Text_1.txt Text_2.txt Text_3.txt 
kilogram plus,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
kind of,0.653026 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
kind of late,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
king on the,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
knowing exactly what,0.217675 Text_1.txt Text_3.txt 
known as,0.217675 Text_1.txt 
large,1.08838 Text_1.txt Text_4.txt 
large mouth nannygai,0.870701 Text_1.txt Text_4.txt 
last one is,0.217675 Text_1.txt Text_2.txt Text_3.txt 
last person standing,0.217675 Text_1.txt Text_2.txt Text_3.txt 
last summer were,0.217675 Text_1.txt Text_2.txt Text_3.txt 
lasting,0.217675 Text_1.txt Text_2.txt 
lasting Of course,0.217675 Text_1.txt Text_2.txt 
late here,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
later,0.217675 Text_1.txt 
later in life,0.217675 Text_1.txt 
leafy greens,0.217675 Text_1.txt 
leafy vegetables and,0.217675 Text_1.txt 
least nine different,0.217675 Text_1.txt 
least one hundred,0.217675 Text_1.txt Text_2.txt 
least the,0.217675 Text_1.txt Text_2.txt 
leave,0.217675 Text_1.txt Text_2.txt Text_3.txt 
leave they lose,0.217675 Text_1.txt Text_2.txt Text_3.txt 
leggings I,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
legs,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
legs help NASA,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
like marshmallows or,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
like the hot,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
like they are,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
like to kick,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
like tumours,0.217675 Text_1.txt 
likely,1.52373 Text_1.txt Text_2.txt 
likely contributed to,0.217675 Text_1.txt 
likely possibility is,0.217675 Text_1.txt 
likely that humans,0.217675 Text_1.txt Text_2.txt 
limes and,0.217675 Text_1.txt 
limits,0.217675 Text_1.txt Text_2.txt Text_3.txt 
limits when they,0.217675 Text_1.txt Text_2.txt Text_3.txt 
linked,0.43535 Text_1.txt Text_3.txt 
linked to video,0.217675 Text_1.txt Text_2.txt Text_3.txt 
live,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
live yakkas yellowtail,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
lives near Saginaw,0.217675 Text_1.txt Text_2.txt Text_3.txt 
loads prevent blood,0.217675 Text_1.txt 
locate but,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
located,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
located my best,0.217675 Text_1.txt Text_2.txt Text_4.txt 
long,0.653026 Text_1.txt Text_2.txt Text_5.txt 
long day of,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
look Coloured,0.217675 Text_1.txt Text_2.txt Text_4.txt Text_5.txt 
look It goes,0.217675 Text_1.txt Text_4.txt Text_5.txt 
look less like,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
looked like a,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
looks cute,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
looks specifically,0.217675 Text_1.txt 
loss Their low,0.217675 Text_1.txt 
loss unless it,0.217675 Text_1.txt 
lost weight,0.217675 Text_1.txt 
lot in,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
lot to be,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
love flatter ground,0.217675 Text_1.txt Text_3.txt Text_4.txt 
loved,0.217675 Text_1.txt Text_2.txt 
loved quadrupeds support,0.217675 Text_1.txt Text_2.txt 
low cut,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
lower number,0.217675 Text_1.txt 
lower risk,1.95908 Text_1.txt Text_2.txt 
lowered blood pressure,0.217675 Text_1.txt 
lowest category of,0.217675 Text_1.txt 
lowest fibre intakes,0.217675 Text_1.txt 
lowest intakes zero,0.217675 Text_1.txt 
loyalty and,0.217675 Text_1.txt Text_2.txt 
lunar future,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
lunar surface,0.653026 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
lunar surface right,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
lung mouth and,0.217675 Text_1.txt 
lycopene containing foods,0.217675 Text_1.txt 
lycopene could be,0.217675 Text_1.txt 
lying around in,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
make it,0.43535 Text_1.txt Text_2.txt Text_3.txt 
make it easier,0.217675 Text_1.txt Text_2.txt Text_3.txt 
make the astronaut,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
many times,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
marks,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
marks requires an,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
marks you got,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
marshmallows,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
marshmallows or something,0.217675 Text_1.txt Text_5.txt 
match,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
match It says,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
may even promote,0.217675 Text_1.txt 
may have been,0.217675 Text_1.txt Text_2.txt Text_3.txt 
may in itself,0.217675 Text_1.txt Text_2.txt 
may protect against,0.43535 Text_1.txt 
may reduce the,0.43535 Text_1.txt 
media,0.217675 Text_1.txt Text_3.txt 
media and smartphone,0.217675 Text_1.txt Text_2.txt Text_3.txt 
medications can,0.217675 Text_1.txt 
medium spin,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
meet World,0.217675 Text_1.txt Text_2.txt 
meeting that,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
meetings and dinners,0.217675 Text_1.txt Text_2.txt Text_3.txt 
men and women,0.43535 Text_1.txt 
men from the,0.217675 Text_1.txt 
